symbol,name,market_cap
069500,KODEX 200,21300300000000
360750,TIGER 미국S&P500,16174100000000
396500,TIGER 반도체TOP10,9517600000000
133690,TIGER 미국나스닥100,8798800000000
379800,KODEX 미국S&P500,8526300000000
102110,TIGER 200,8274700000000
459580,KODEX CD금리액티브(합성),8088900000000
488770,KODEX 머니마켓액티브,8031900000000
229200,KODEX 코스닥150,6635000000000
379810,KODEX 미국나스닥100,6590900000000
278530,KODEX 200TR,6535000000000
122630,KODEX 레버리지,6127700000000
411060,ACE KRX금현물,4903100000000
310970,TIGER MSCI Korea TR,4866200000000
357870,TIGER CD금리투자KIS(합성),4460300000000
498400,KODEX 200타겟위클리커버드콜,4451700000000
091160,KODEX 반도체,4372400000000
233740,KODEX 코스닥150레버리지,4370700000000
423160,KODEX KOFR금리액티브(합성),4349000000000
381180,TIGER 미국필라델피아반도체나스닥,4209100000000
381170,TIGER 미국테크TOP10 INDXX,4116700000000
273130,KODEX 종합채권(AA-이상)액티브,3976600000000
148020,RISE 200,3604800000000
360200,ACE 미국S&P500,3557600000000
458730,TIGER 미국배당다우존스,3301900000000
0043B0,TIGER 머니마켓액티브,3157800000000
367380,ACE 미국나스닥100,2943200000000
102780,KODEX 삼성그룹,2897200000000
481050,KODEX CD1년금리플러스액티브(합성),2872300000000
161510,PLUS 고배당주,2788200000000
455890,RISE 머니마켓액티브,2628200000000
449170,TIGER KOFR금리액티브(합성),2445900000000
395160,KODEX AI반도체,2311900000000
487240,KODEX AI전력핵심설비,2249200000000
292150,TIGER 코리아TOP10,2246100000000
278540,KODEX MSCI Korea TR,2232000000000
232080,TIGER 코스닥150,2220600000000
305720,KODEX 2차전지산업,2155000000000
214980,KODEX 단기채권PLUS,2076800000000
466920,SOL 조선TOP3플러스,1993400000000
385540,RISE 종합채권(A-이상)액티브,1984400000000
453850,ACE 미국30년국채액티브(H),1831200000000
294400,KIWOOM 200TR,1806000000000
449450,PLUS K방산,1786100000000
395270,HANARO Fn K-반도체,1744700000000
488080,TIGER 반도체TOP10레버리지,1651000000000
329200,TIGER 리츠부동산인프라,1619800000000
487230,KODEX 미국AI전력핵심인프라,1619400000000
284430,KODEX 200미국채혼합,1617400000000
475630,TIGER CD1년금리액티브(합성),1583300000000
441640,KODEX 미국배당커버드콜액티브,1556900000000
456600,TIME 글로벌AI인공지능액티브,1544400000000
477080,RISE CD금리액티브(합성),1516100000000
494310,KODEX 반도체레버리지,1515700000000
105190,ACE 200,1510100000000
0072R0,TIGER KRX금현물,1503100000000
152100,PLUS 200,1493900000000
315930,KODEX Top5PlusTR,1460300000000
0117L0,KODEX 26-12 금융채(AA-이상)액티브,1453200000000
379780,RISE 미국S&P500,1410800000000
486290,TIGER 미국나스닥100타겟데일리커버드콜,1369100000000
368590,RISE 미국나스닥100,1343200000000
144600,KODEX 은선물(H),1342900000000
371460,TIGER 차이나전기차SOLACTIVE,1316100000000
305540,TIGER 2차전지테마,1314000000000
157450,TIGER 단기통안채,1301300000000
426030,TIME 미국나스닥100액티브,1292300000000
457480,ACE 테슬라밸류체인액티브,1243200000000
436140,SOL 종합채권(AA-이상)액티브,1205500000000
448330,KODEX 삼성전자채권혼합,1192000000000
455850,SOL AI반도체소부장,1191000000000
446770,ACE 글로벌반도체TOP4 Plus,1167800000000
0139F0,TIGER 12월자동연장금융채(AA-이상)액티브,1140200000000
469830,SOL 초단기채권액티브,1116700000000
465580,ACE 미국빅테크TOP7 Plus,1115600000000
102970,KODEX 증권,1107700000000
356540,ACE 종합채권(AA-이상)액티브,1092700000000
445290,KODEX 로봇액티브,1075000000000
139260,TIGER 200 IT,1070900000000
252670,KODEX 200선물인버스2X,1061400000000
472150,TIGER 배당커버드콜액티브,1057900000000
476550,TIGER 미국30년국채커버드콜액티브(H),1053800000000
451540,TIGER 종합채권(AA-이상)액티브,1051300000000
091230,TIGER 반도체,1029900000000
466940,TIGER 은행고배당플러스TOP10,1024800000000
0162Z0,RISE 삼성전자SK하이닉스채권혼합50,1021200000000
494890,KODEX 200액티브,1021000000000
0163Y0,KoAct 코스닥액티브,1004300000000
438080,ACE 미국S&P500미국채혼합50액티브,980800000000
434730,HANARO 원자력iSelect,970100000000
463250,TIGER K방산&우주,967200000000
497570,TIGER 미국필라델피아AI반도체나스닥,965600000000
226490,KODEX 코스피,945900000000
462330,KODEX 2차전지산업레버리지,945400000000
390390,KODEX 미국반도체,940400000000
446720,SOL 미국배당다우존스,928800000000
371160,TIGER 차이나항셍테크,900600000000
0091P0,TIGER 코리아원자력,895000000000
114800,KODEX 인버스,894300000000
481060,KODEX 미국30년국채타겟커버드콜(합성 H),876600000000
0061Z0,RISE 단기특수은행채액티브,858700000000
479520,RISE KOFR금리액티브(합성),858400000000
479080,1Q 머니마켓액티브,858100000000
462010,TIGER 2차전지소재Fn,854700000000
495050,RISE 코리아밸류업,841400000000
475720,RISE 200위클리커버드콜,838800000000
449180,KODEX 미국S&P500(H),836900000000
402970,ACE 미국배당다우존스,820400000000
251600,PLUS 고배당주채권혼합,807100000000
441800,TIME Korea플러스배당액티브,802700000000
069660,KIWOOM 200,792900000000
237350,KODEX 코스피100,789100000000
444200,SOL 코리아메가테크액티브,778800000000
272580,TIGER 단기채권액티브,766700000000
153130,KODEX 단기채권,760300000000
494300,KODEX 미국나스닥100데일리커버드콜OTM,759400000000
494670,TIGER 조선TOP10,754400000000
138540,TIGER 현대차그룹플러스,752600000000
0117V0,TIGER 코리아AI전력기기TOP3플러스,725600000000
458760,TIGER 미국배당다우존스타겟커버드콜2호,717800000000
498410,KODEX 금융고배당TOP10타겟위클리커버드콜,710700000000
385560,RISE KIS국고채30년Enhanced,707600000000
495850,KODEX 코리아밸류업,683600000000
364980,TIGER 2차전지TOP10,683300000000
314250,KODEX 미국빅테크10(H),680500000000
0105E0,SOL 코리아고배당,678900000000
471230,KODEX 국고채10년액티브,663200000000
438100,ACE 미국나스닥100미국채혼합50액티브,653700000000
487340,ACE 머니마켓액티브,652100000000
456610,TIGER 미국달러SOFR금리액티브(합성),649800000000
0131V0,1Q 미국우주항공테크,644500000000
455030,KODEX 미국달러SOFR금리액티브(합성),642600000000
469150,ACE AI반도체TOP3+,629400000000
438330,TIGER 우량회사채액티브,628800000000
0127P0,ACE 미국대형성장주액티브,624100000000
0025N0,TIGER TDF2045 적격,623200000000
491010,TIGER 글로벌AI전력인프라액티브,621700000000
447770,TIGER 테슬라채권혼합Fn,611000000000
0148J0,TIGER 코리아휴머노이드로봇산업,601600000000
483280,KODEX 미국AI테크TOP10타겟커버드콜,588000000000
484790,KODEX 미국30년국채액티브(H),587500000000
476800,KODEX 한국부동산리츠인프라,587100000000
114260,KODEX 국고채3년,574300000000
0048J0,KODEX 미국머니마켓액티브,574100000000
0167A0,SOL AI반도체TOP2플러스,572000000000
458250,TIGER 미국30년국채스트립액티브(합성 H),571000000000
482730,TIGER 미국S&P500타겟데일리커버드콜,568800000000
0080G0,KODEX 방산TOP10,564700000000
462900,KoAct 바이오헬스케어액티브,564500000000
473290,KODEX 26-12 회사채(AA-이상)액티브,558700000000
480260,TIGER 27-04회사채(A+이상)액티브,555400000000
451000,PLUS 종합채권(AA-이상)액티브,549800000000
091180,KODEX 자동차,549300000000
329750,TIGER 미국달러단기채권액티브,546600000000
449190,KODEX 미국나스닥100(H),540000000000
423920,TIGER 미국필라델피아반도체레버리지(합성),530500000000
0177N0,KODEX 삼성전자SK하이닉스채권혼합50,528300000000
434060,KODEX TDF2050액티브 적격,526900000000
315960,RISE 대형고배당10TR,525900000000
474220,TIGER 미국테크TOP10타겟커버드콜,522300000000
490590,RISE 미국AI밸류체인데일리고정커버드콜,513900000000
251350,KODEX MSCI선진국,512300000000
293180,HANARO 200,512100000000
270810,RISE 코스닥150,511900000000
0162Y0,TIME 코스닥액티브,500500000000
471990,KODEX AI반도체핵심장비,496500000000
448290,TIGER 미국S&P500(H),495200000000
0023A0,SOL 미국양자컴퓨팅TOP10,492300000000
295040,SOL 200TR,491500000000
469070,RISE AI&로봇,490100000000
0052D0,TIGER 코리아배당다우존스,489700000000
489250,KODEX 미국배당다우존스,488800000000
365780,ACE 국고채10년,479200000000
091170,KODEX 은행,474200000000
361580,RISE 200TR,468100000000
496080,TIGER 코리아밸류업,464500000000
148070,KIWOOM 국고채10년,461500000000
132030,KODEX 골드선물(H),451100000000
277630,TIGER 코스피,442800000000
490490,SOL 미국배당미국채혼합50,437800000000
241180,TIGER 일본니케이225,436500000000
499660,TIGER CD금리플러스액티브(합성),434600000000
157500,TIGER 증권,425700000000
484880,SOL 금융지주플러스고배당,420900000000
279530,KODEX 고배당주,420700000000
442580,PLUS 글로벌HBM반도체,420500000000
0098F0,KODEX 원자력SMR,412500000000
478150,TIME 글로벌우주테크&방산액티브,410000000000
466950,TIGER 글로벌AI액티브,408100000000
0007F0,KODEX 27-12 회사채(AA-이상)액티브,405500000000
477050,PLUS 머니마켓액티브,405400000000
307520,TIGER 지주회사,405100000000
453810,KODEX 인도Nifty50,400800000000
385510,KODEX 신재생에너지액티브,395300000000
463050,TIME K바이오액티브,392900000000
461490,RISE 글로벌자산배분액티브,392900000000
433500,ACE 원자력TOP10,390400000000
0053L0,TIGER 차이나휴머노이드로봇,390000000000
453870,TIGER 인도니프티50,383500000000
0167Z0,KODEX 미국우주항공,382900000000
0040Y0,SOL 팔란티어커버드콜OTM채권혼합,377800000000
139230,TIGER 200 중공업,377400000000
454780,KIWOOM 종합채권(AA-이상)액티브,374100000000
0060H0,TIGER 토탈월드스탁액티브,365900000000
472160,TIGER 미국테크TOP10 INDXX(H),364000000000
0046A0,TIGER 미국초단기(3개월이하)국채,363100000000
0144L0,KODEX 미국성장커버드콜액티브,361400000000
442320,RISE 글로벌원자력,358900000000
439870,KODEX 국고채30년액티브,357900000000
473330,SOL 미국30년국채커버드콜(합성),356200000000
491620,RISE 미국테크100데일리고정커버드콜,356000000000
456880,ACE 미국달러SOFR금리(합성),355500000000
475080,KODEX 테슬라커버드콜채권혼합액티브,348600000000
441680,TIGER 미국나스닥100커버드콜(합성),346400000000
472170,TIGER 미국테크TOP10채권혼합,341300000000
418660,TIGER 미국나스닥100레버리지(합성),339800000000
448300,TIGER 미국나스닥100(H),338300000000
290130,RISE ESG사회책임투자,338100000000
439860,KODEX ESG종합채권(A-이상)액티브,337000000000
0016X0,SOL 중단기회사채(A-이상)액티브,336800000000
273140,KODEX 단기변동금리부채권액티브,334900000000
481190,SOL 미국테크TOP10,332500000000
421320,PLUS 우주항공&UAM,332200000000
394670,TIGER 글로벌리튬&2차전지SOLACTIVE(합성),327200000000
451060,1Q 200액티브,324700000000
385720,TIME 코스피액티브,323500000000
245710,ACE 베트남VN30(합성),321900000000
0015B0,KoAct 미국나스닥성장기업액티브,321200000000
435420,TIGER 미국나스닥100채권혼합50,318800000000
363570,KODEX 장기종합채권(AA-이상)액티브,318600000000
437080,KODEX 미국종합채권ESG액티브(H),318100000000
0038A0,KODEX 미국휴머노이드로봇,317800000000
228790,TIGER 화장품,317700000000
302450,RISE 코스피,315100000000
0122W0,RISE 26-11 회사채(AA-이상)액티브,313800000000
485540,KODEX 미국AI테크TOP10,312300000000
123320,TIGER 레버리지,307300000000
472870,RISE 미국30년국채엔화노출(합성 H),306100000000
0094K0,TIGER 28-04 회사채(A+이상)액티브,297700000000
493810,TIGER 미국AI빅테크10타겟데일리커버드콜,291700000000
244580,KODEX 바이오,290700000000
448630,RISE 삼성그룹Top3채권혼합,290200000000
433330,SOL 미국S&P500,288500000000
476760,ACE 미국30년국채액티브,287100000000
489030,PLUS 고배당주위클리커버드콜,287000000000
385550,RISE 단기채권알파액티브,285700000000
283580,KODEX 차이나CSI300,284100000000
458260,TIGER 미국투자등급회사채액티브(H),283900000000
213610,KODEX 삼성그룹밸류,283800000000
364970,TIGER 바이오TOP10,282200000000
473460,KODEX 미국서학개미,281400000000
310960,TIGER 200TR,280500000000
488980,SOL 26-12 회사채(AA-이상)액티브,277100000000
0051G0,SOL 미국원자력SMR,274700000000
486450,SOL 미국AI전력인프라,273900000000
233160,TIGER 코스닥150 레버리지,272900000000
422420,RISE 2차전지액티브,271000000000
0026S0,1Q 미국S&P500,270500000000
495230,KoAct 코리아밸류업액티브,269800000000
0093A0,RISE AI반도체TOP10,267000000000
0101N0,RISE AI전력인프라,266200000000
302190,TIGER 중장기국채,264900000000
0047A0,TIGER 차이나테크TOP10,262800000000
0052S0,1Q 미국S&P500미국채혼합50액티브,260500000000
463290,1Q 단기금융채액티브,260300000000
498270,KIWOOM 미국양자컴퓨팅,260100000000
0000J0,PLUS 한화그룹주,258400000000
461950,KODEX 2차전지핵심소재10,257800000000
329650,KODEX TRF3070,257400000000
0064K0,KODEX 금액티브,257200000000
196230,RISE 단기통안채,254800000000
448540,ACE 엔비디아채권혼합,254200000000
0153K0,KODEX 주주환원고배당주,250300000000
426020,TIME 미국S&P500액티브,248600000000
0089D0,KODEX 금융고배당TOP10,248400000000
266160,RISE 고배당,246800000000
354500,ACE 코스닥150,242400000000
409820,KODEX 미국나스닥100레버리지(합성 H),240000000000
261260,KODEX 미국달러선물인버스2X,239200000000
305080,TIGER 미국채10년선물,236200000000
474590,WON 반도체밸류체인액티브,234500000000
483320,ACE 엔비디아밸류체인액티브,233000000000
466930,SOL 자동차TOP3플러스,231200000000
0040X0,SOL 팔란티어미국채커버드콜혼합,229500000000
0048K0,KODEX 차이나휴머노이드로봇,228500000000
472920,HK 종합채권(AA-이상)액티브,228400000000
0043Y0,TIME 차이나AI테크액티브,228300000000
332930,HANARO 200TR,228200000000
476450,KIWOOM 머니마켓액티브,227900000000
497880,SOL CD금리&머니마켓액티브,226800000000
396520,TIGER 차이나반도체FACTSET,226400000000
117700,KODEX 건설,225800000000
271050,KODEX WTI원유선물인버스(H),224900000000
367760,RISE 네트워크인프라,223000000000
0173Y0,KODEX 미국AI광통신네트워크,221600000000
491610,1Q CD금리액티브(합성),221300000000
388420,RISE 비메모리반도체액티브,218100000000
190620,ACE 단기통안채,217600000000
0008S0,TIGER 미국배당다우존스타겟데일리커버드콜,216700000000
490090,TIGER 미국AI빅테크10,215900000000
200250,KIWOOM 인도Nifty50(합성),215700000000
272560,RISE 단기국공채액티브,215500000000
160580,TIGER 구리실물,215200000000
0167B0,SOL 200타겟위클리커버드콜,214700000000
0123G0,TIGER 미국AI전력SMR,211600000000
414780,TIGER 차이나과창판STAR50(합성),210000000000
496020,WON 전단채플러스액티브,209200000000
471040,KoAct 글로벌AI&로봇액티브,208300000000
0111P0,1Q 미국나스닥100미국채혼합50액티브,206600000000
452360,SOL 미국배당다우존스(H),206300000000
267770,TIGER 200선물레버리지,204400000000
